"TABLE 2.  State agency expenditures for R&D and R&D plant, by state and R&D performer: FY 2009  ",,,,,,,,,,,,,
(Dollars),,,,,,,,,,,,,
,,R&D,,,,,,,,,,,
,,,,,,External performers,,,,,,,
,,All R&D,,Internal,,,Academic ,,Companies and,,,,
State,,expenditures,,performers,,Total,Institutions,,individualsa,,Otherb,,R&D plant
,,,,,,,,,,,,,
United States,,"1,210,113,524",,"318,264,391",,"891,849,133","530,354,012",,"255,889,116",,"105,606,005",,"102,614,371"
,,,,,,,,,,,,,
Alabama,,"12,929,167",,"9,138,896",,"3,790,271","3,790,271",,0,,0,,0
Alaska,,"7,741,467",,"6,387,016",,"1,354,451","1,264,451",,"90,000",,0,,0
Arizona,,"21,483,423",,"7,373,390",,"14,110,033","13,173,778",,"936,255",,0,,"132,982"
Arkansas,,"11,765,900",,"768,453",,"10,997,447","10,304,092",,"631,975",,"61,380",,0
California,,"146,793,247",,"25,144,000",,"121,649,247","56,843,299",,"37,514,864",,"27,291,084",,"2,515,000"
,,,,,,,,,,,,,
Colorado,,"14,849,581",,"9,395,554",,"5,454,027","3,896,294",,"1,193,264",,"364,469",,"1,030,000"
Connecticut,,"27,088,088",,"12,663,055",,"14,425,033","4,540,756",,"8,395,227",,"1,489,050",,0
Delaware,,"2,066,752",,"1,021,115",,"1,045,637","745,637",,"300,000",,0,,0
District of Columbia,,"487,411",,0,,"487,411","487,411",,0,,0,,0
Florida,,"66,513,756",,"10,356,355",,"56,157,401","34,942,344",,"19,668,724",,"1,546,333",,"759,009"
,,,,,,,,,,,,,
Georgia,,"6,662,887",,"3,500,000",,"3,162,887","3,162,887",,0,,0,,0
Hawaii,,"13,976,364",,"3,268,044",,"10,708,320","3,672,334",,"6,884,681",,"151,305",,0
Idaho,,"6,052,058",,"1,897,225",,"4,154,833","1,590,540",,"175,633",,"2,388,660",,0
Illinois,,"19,656,490",,"5,445,719",,"14,210,771","7,700,351",,"2,675,865",,"3,834,555",,0
Indiana,,"47,549,928",,"941,982",,"46,607,946","14,312,538",,"32,295,408",,0,,0
,,,,,,,,,,,,,
Iowa,,"11,284,860",,"953,909",,"10,330,951","6,442,409",,"3,358,242",,"530,300",,"612,848"
Kansas,,"12,305,385",,"1,598,127",,"10,707,258","9,561,563",,0,,"1,145,695",,0
