State,	Percent change 2001-02,	Percent change 2002-03,	Percent change 2003-04,	Percent change 2004-05,	Percent change 2005-06,	Percent change 2006-07,	Percent change 2007-08,	Percent change 2008-09,	Percent change 2009-10,	Percent change 2010-11,	Percent change 2011-12
Alabama,	0.3,	0.5,	0.6,	0.9,	1.3,	0.9,	1.0,	0.8,	0.6,	0.4,	0.4
Alaska, 	1.4,	0.9,	1.7,	1.2,	1.3,	0.7,	1.1,	1.7,	2.2,	1.4,	1.0
Arizona, 	2.3,	2.1,	2.6,	3.3,	3.3,	2.3,	1.8,	1.0,	1.1,	0.8,	1.3
Arkansas,	0.5,	0.7,	0.9,	1.1,	1.5,	1.0,	0.9,	0.8,	0.9,	0.6,	0.4
California,	1.1,	1.1,	0.9,	0.7,	0.5,	0.6,	1.0,	1.0,	1.1,	0.9,	0.9
Colorado,	1.5,	0.9,	1.0,	1.2,	1.9,	1.8,	1.8,	1.7,	1.5,	1.3,	1.4
Connecticut,	0.8,	0.7,	0.3,	0.3,	0.3,	0.3,	0.5,	0.5,	0.4,	0.3,	0.1
Delaware,	1.3,	1.5,	1.6,	1.7,	1.7,	1.5,	1.4,	0.9,	0.9,	0.9,	1.0
DC,     	-0.2,	-0.8,	-0.1,	-0.1,	0.6,	0.7,	1.0,	2.1,	2.1,	2.4,	2.1
Florida,	2.0,	1.9,	2.4,	2.5,	1.8,	1.1,	0.9,	0.7,	1.0,	1.3,	1.2
Georgia,	1.6,	1.3,	1.7,	1.8,	2.6,	2.1,	1.7,	1.2,	1.0,	1.0,	1.1
Hawaii, 	1.1,	0.9,	1.8,	1.5,	1.3,	0.5,	1.3,	1.1,	1.3,	1.1,	1.0
Idaho,  	1.5,	1.7,	2.1,	2.6,	2.8,	2.5,	1.9,	1.3,	1.1,	0.8,	0.8
Illinois,	0.3,	0.2,	0.3,	0.2,	0.3,	0.4,	0.4,	0.4,	0.4,	0.1,	0.1
Indiana,	0.5,	0.7,	0.6,	0.7,	0.9,	0.7,	0.7,	0.5,	0.5,	0.4,	0.3
Iowa,   	0.1,	0.3,	0.4,	0.4,	0.6,	0.6,	0.6,	0.5,	0.6,	0.5,	0.3
Kansas, 	0.4,	0.3,	0.4,	0.4,	0.6,	0.8,	0.9,	0.9,	0.9,	0.4,	0.5
Kentucky,	0.5,	0.7,	0.7,	0.9,	0.9,	0.9,	0.8,	0.6,	0.7,	0.5,	0.3
Louisiana,	0.4,	0.5,	0.7,	0.5,	-6.0,	1.7,	1.4,	1.3,	1.2,	0.7,	0.6
Maine,  	0.8,	0.8,	0.5,	0.4,	0.4,	0.3,	0.3,	-0.1,	-0.2,	0.1,	0.0
Maryland,	1.2,	1.0,	0.9,	0.8,	0.6,	0.5,	0.6,	0.8,	1.0,	0.9,	0.8
Massachusetts,	0.3,	0.1,	-0.2,	-0.1,	0.1,	0.3,	0.6,	0.8,	0.6,	0.8,	0.6
Michigan,	0.2,	0.3,	0.1,	0.0,	-0.1,	-0.3,	-0.5,	-0.5,	-0.2,	0.0,	0.1
Minnesota,	0.7,	0.7,	0.7,	0.6,	0.9,	0.8,	0.8,	0.7,	0.6,	0.7,	0.6
Mississippi,	0.2,	0.3,	0.7,	0.6,	0.0,	0.8,	0.7,	0.4,	0.4,	0.2,	0.3
Missouri,	0.6,	0.6,	0.7,	0.7,	0.9,	0.8,	0.6,	0.6,	0.6,	0.2,	0.2
Montana,	0.5,	0.9,	1.1,	1.1,	1.3,	1.3,	1.2,	0.8,	0.7,	0.7,	0.7
Nebraska,	0.5,	0.6,	0.6,	0.7,	0.6,	0.6,	0.7,	0.9,	1.0,	0.6,	0.7
Nevada, 	3.6,	3.5,	4.3,	3.7,	3.7,	3.1,	2.0,	1.2,	0.7,	0.6,	1.4
New Hampshire,	1.1,	0.8,	0.8,	0.6,	0.8,	0.3,	0.3,	0.0,	0.0,	0.1,	0.2
New Jersey,	0.7,	0.6,	0.4,	0.2,	0.1,	0.2,	0.4,	0.5,	0.5,	0.4,	0.3
New Mexico,	1.3,	1.2,	1.4,	1.5,	1.5,	1.4,	1.0,	1.3,	1.4,	0.6,	0.3
New York,	0.3,	0.2,	0.0,	-0.2,	-0.1,	0.1,	0.4,	0.5,	0.4,	0.6,	0.4
North Carolina,	1.4,	1.2,	1.6,	1.8,	2.4,	2.3,	2.1,	1.5,	1.2,	0.9,	1.0
North Dakota,	-0.1,	0.1,	0.9,	0.2,	0.5,	0.5,	0.7,	1.1,	1.4,	1.5,	2.2
Ohio,   	0.2,	0.2,	0.2,	0.1,	0.2,	0.2,	0.1,	0.1,	0.1,	0.0,	0.0
Oklahoma,	0.6,	0.5,	0.6,	0.7,	1.3,	1.1,	1.0,	1.3,	1.2,	0.6,	0.8
Oregon, 	1.3,	1.0,	0.6,	1.2,	1.6,	1.4,	1.2,	1.1,	0.8,	0.8,	0.8
Pennsylvania,	0.3,	0.4,	0.3,	0.3,	0.5,	0.4,	0.4,	0.4,	0.3,	0.3,	0.2
Rhode Island,	0.8,	0.5,	0.3,	-0.6,	-0.5,	-0.5,	-0.2,	-0.1,	-0.1,	-0.2,	0.0
South Carolina,	1.1,	1.0,	1.5,	1.4,	2.1,	2.0,	1.9,	1.3,	1.0,	0.8,	1.1
South Dakota,	0.3,	0.5,	0.9,	0.7,	1.0,	1.1,	0.9,	1.0,	1.2,	0.9,	1.2
Tennessee,	0.8,	0.9,	1.1,	1.4,	1.6,	1.4,	1.2,	0.9,	0.8,	0.7,	0.9
Texas,  	1.7,	1.6,	1.6,	1.7,	2.6,	2.0,	2.0,	2.0,	1.8,	1.5,	1.7
Utah,   	1.8,	1.5,	1.8,	2.3,	2.8,	2.9,	2.5,	2.3,	1.9,	1.4,	1.5
Vermont,	0.5,	0.4,	0.3,	0.2,	0.3,	0.1,	0.1,	0.1,	0.2,	0.1,	-0.1
Virginia,	1.2,	1.1,	1.5,	1.4,	1.3,	1.0,	1.1,	1.2,	1.2,	1.0,	1.0
Washington,	1.1,	0.9,	1.2,	1.3,	1.8,	1.4,	1.6,	1.6,	1.2,	1.2,	1.1
West Virginia,	0.2,	0.4,	0.2,	0.2,	0.4,	0.3,	0.3,	0.4,	0.3,	0.1,	0.0
Wisconsin,	0.7,	0.6,	0.6,	0.6,	0.6,	0.6,	0.5,	0.5,	0.4,	0.3,	0.3
Wyoming,	1.1,	0.7,	1.1,	1.0,	1.7,	2.3,	2.1,	2.5,	0.8,	0.5,	1.6
