Description,Date sold,Sales proceeds,Date acquired,Cost,Wash Sale,Adjustment Amount,ST/LT,Reporting category
"200.00000 ALTRIA GROUP INC","12/31/2012","6242.86","12/19/2012","6502.98","","0","ST","A"
"10.00000 APPLE INC","11/08/2012","5466.87","10/12/2012","6314.30","W","847.43","ST","A"
"10.00000 APPLE INC","11/15/2012","5275.48","11/14/2012","6286.93","","0","ST","A"
"50.50300 BRISTOL MYERS SQUIBB CO","11/16/2012","1587.84","Various ","1701.50","","0","ST","A"
"120.00000 CHESAPEAKE ENERGY CORP","11/08/2012","2079.05","10/23/2012","2465.34","","0","ST","A"
"100.00000 DEUTSCHE BANK AG","09/17/2012","4416.11","09/10/2012","4054.99","","0","ST","A"
"100.00000 ELECTRONIC ARTS INC","12/31/2012","1442.26","09/05/2012","1323.99","","0","ST","A"
"50.00000 EXXON MOBIL CORP","11/16/2012","4299.90","10/22/2012","4579.00","","0","ST","A"
"200.00000 GENERAL ELECTRIC COMPANY","11/16/2012","4017.52","10/22/2012","4284.52","","0","ST","A"
"100.00000 GROUPON INC CL A","08/31/2012","410.19","07/18/2012","728.84","","0","ST","A"
"100.00000 INTEL CORP","10/10/2012","2167.95","10/03/2012","2282.72","","0","ST","A"
"100.00000 KNIGHT TRANSPORTATION","09/19/2012","1484.34","09/07/2012","1458.00","","0","ST","A"
"50.00000 LAMAR ADVERTISING A","10/10/2012","1861.45","09/18/2012","1738.50","","0","ST","A"
"100.00000 NETFLIX INC","11/06/2012","7679.92","10/03/2012","5956.00","","0","ST","A"
"100.00000 NEWS CORP CL B","11/07/2012","2458.94","09/19/2012","2497.99","","0","ST","A"
"800.00000 NOKIA CORP SPONS ADR","12/20/2012","3329.00","12/06/2012","2964.99","","0","ST","A"
"100.00000 OCZ TECHNOLOGY GROUP INC","10/03/2012","306.19","09/18/2012","444.00","","0","ST","A"
"100.00000 QUALCOMM INC","12/20/2012","6257.35","12/14/2012","5979.50","","0","ST","A"
"200.00000 RENREN INC ADR REP CL A","08/31/2012","755.74","05/07/2012","1307.00","","0","ST","A"
"100.00000 REX ENERGY CORP","09/21/2012","1373.14","09/07/2012","1294.83","","0","ST","A"
"100.00000 RUBICON TECHNOLOGY INC","10/04/2012","941.05","09/18/2012","1002.00","","0","ST","A"
"50.00000 SIGNET JEWELERS LTD","09/19/2012","2505.45","09/12/2012","2419.00","","0","ST","A"
"100.36000 SKYWEST INC","10/10/2012","1026.69","Various ","1076.64","","0","ST","A"
"50.00000 TESLA MOTORS INC","10/10/2012","1401.96","09/17/2012","1605.95","","0","ST","A"
"50.00000 ULTIMATE SFTWARE GRP INC","10/12/2012","5138.88","Various ","5145.10","","0","ST","A"
"50.00000 ZUMIEZ INC","11/09/2012","1003.97","09/14/2012","1397.00","","0","ST","A"
"400.00000 U S NAT GAS $0.001 ETF","12/13/2012","7626.22","Various ","8660.64","","0","ST","B"
